Cumulative update name,SQL Server build version,SQL Server (sqlservr.exe) file version,Analysis Services build version,Analysis Services (msmdsrv.exe) file version,Knowledge Base number,Release date
CU17 (Latest),16.0.4175.1,2022.160.4175.1,16.0.43.239,2022.160.43.239,KB5048038,"January 16, 2025"
CU16,16.0.4165.4,2022.160.4165.4,16.0.43.239,2022.160.43.239,KB5048033,"November 14, 2024"
CU15,16.0.4145.4,2022.160.4145.4,16.0.43.233,2022.160.43.233,KB5041321,"September 25, 2024"
CU14,16.0.4135.4,2022.160.4135.4,16.0.43.233,2022.160.43.233,KB5038325,"July 23, 2024"
CU13,16.0.4125.3,2022.160.4125.3,16.0.43.233,2022.160.43.233,KB5036432,"May 16, 2024"
CU12,16.0.4115.5,2022.160.4115.5,16.0.43.229,2022.160.43.229,KB5033663,"March 14, 2024"
CU11,16.0.4105.2,2022.160.4105.2,16.0.43.222,2022.160.43.222,KB5032679,"January 11, 2024"
CU10,16.0.4095.4,2022.160.4095.4,16.0.43.222,2022.160.43.222,KB5031778,"November 16, 2023"
CU9,16.0.4085.2,2022.160.4085.2,16.0.43.222,2022.160.43.222,KB5030731,"October 12, 2023"
CU8,16.0.4075.1,2022.160.4075.1,16.0.43.221,2022.160.43.221,KB5029666,"September 14, 2023"
CU7,16.0.4065.3,2022.160.4065.3,16.0.43.221,2022.160.43.221,KB5028743,"August 10, 2023"
CU6,16.0.4055.4,2022.160.4055.4,16.0.43.219,2022.160.43.219,KB5027505,"July 13, 2023"
CU5,16.0.4045.3,2022.160.4045.3,16.0.43.218,2022.160.43.218,KB5026806,"June 15, 2023"
CU4,16.0.4035.4,2022.160.4035.4,16.0.43.211,2022.160.43.211,KB5026717,"May 11, 2023"
CU3,16.0.4025.1,2022.160.4025.1,16.0.43.211,2022.160.43.211,KB5024396,"April 13, 2023"
CU2,16.0.4015.1,2022.160.4015.1,16.0.43.208,2022.160.43.208,KB5023127,"March 15, 2023"
CU1,16.0.4003.1,2022.160.4003.1,16.0.43.208,2022.160.43.208,KB5022375,"February 16, 2023"
RTM,16.0.1000.6,2022.160.1000.6,16.0.42.209,2022.160.42.209,SQL Server 2022 release notes,"November 16, 2022"
